Datetime,CH4_aeris,Wall Code,bg_aeris,CH4_ele_aeris,Longitude,Latitude,Speed [m/s]
2024-06-11 12:22:48.307,2.105605894812548,1023,2.1061045576131665,-0.000498662800618721,5.16348886,52.087579675,7.32
2024-06-11 12:22:49.300,2.1043592378110016,1023,2.1061876680799365,-0.0018284302689348664,5.1634965699999995,52.08752122,6.43
2024-06-11 12:22:50.393,2.1028591952400353,1023,2.106270778546706,-0.0034115833066707957,5.163534674999999,52.087474865,6.145
2024-06-11 12:22:51.584,2.101653079929596,1023,2.1064369994802457,-0.004783919550649607,5.1636092399999995,52.08744378,6.41
2024-06-11 12:22:52.677,2.1029808203133573,1023,2.106455243241244,-0.003474422927886689,5.163706495,52.087431255,6.9
2024-06-11 12:22:53.869,2.1021902573367663,1023,2.1064734870022424,-0.004283229665476007,5.163808775,52.08743362,7.125
2024-06-11 12:22:54.862,2.103487591452197,1023,2.1064917307632403,-0.0030041393110433745,5.163913635,52.087439055000004,7.2
2024-06-11 12:22:55.955,2.102099038531775,1023,2.1065099745242386,-0.0044109359924635605,5.1640299899999995,52.087443985,7.745
2024-06-11 12:22:57.047,2.1015618611246047,1023,2.106528218285237,-0.0049663571606322066,5.16426965,52.08744725,8.215
2024-06-11 12:22:58.140,2.101754434157364,1023,2.1065464620462353,-0.004792027888871342,5.164404155,52.087444605,8.614999999999998
2024-06-11 12:22:59.332,2.1006395376519165,1023,2.1065647058072337,-0.005925168155317184,5.164529465,52.087451064999996,8.015
2024-06-11 12:23:00.325,2.101531454856275,1023,2.1065829495682316,-0.00505149471195665,5.164638245000001,52.0874588,7.475
2024-06-11 12:23:01.517,2.1008321106846752,1023,2.1066194370902283,-0.005787326405553017,5.164743605,52.087456419999995,6.96
2024-06-11 12:23:02.709,2.0992408493087176,1023,2.1066751819155005,-0.007434332606782945,5.1648413,52.08745383,6.5600000000000005
2024-06-11 12:23:03.802,2.098926651202637,1023,2.106730926740773,-0.007804275538135563,5.16493319,52.08745432,6.325
2024-06-11 12:23:04.894,2.3715796593213336,1023,2.1067866715660455,0.26479298775528815,5.16502006,52.087454105,5.93
2024-06-11 12:23:05.888,9.937247074445908,1023,2.1068424163913178,7.83040465805459,5.165106585,52.087455985,5.66
2024-06-11 12:23:07.080,24.892114058728193,1023,2.10689816121659,22.785215897511602,5.165264325,52.087480205,5.13
2024-06-11 12:23:08.172,27.380461704660362,1023,2.1069539060418623,25.2735077986185,5.16530621,52.087514935,4.6899999999999995
2024-06-11 12:23:09.265,22.21768005061398,1023,2.1070096508671345,20.110670399746844,5.16532542,52.087560725,5.085
2024-06-11 12:23:10.357,17.088750708642106,1023,2.1070653956924073,14.981685312949699,5.1653418,52.08761347,5.84
2024-06-11 12:23:11.549,12.495377106196344,1023,2.1071211405176795,10.388255965678663,5.1653458,52.08766917,6.245
2024-06-11 12:23:12.642,9.526397576765543,1023,2.1071941155616725,7.419203461203871,5.165336099999999,52.087726155,6.470000000000001
2024-06-11 12:23:13.635,7.649601070339934,1023,2.107211345780393,5.542389724559541,5.16531745,52.08779055,6.425000000000001
2024-06-11 12:23:14.728,6.3075494696182925,1023,2.1072285759991134,4.200320893619179,5.165305055,52.087855309999995,6.09
2024-06-11 12:23:15.820,5.188771097246778,1023,2.107245806217834,3.0815252910289437,5.165296645,52.08790487,4.8100000000000005
2024-06-11 12:23:16.814,4.332935997973785,1023,2.1072630364365548,2.2256729615372306,5.165286235,52.087937005,3.57
2024-06-11 12:23:17.906,3.583005931295577,1023,2.1072802666552755,1.4757256646403016,5.1652776199999995,52.08796056,3.04
2024-06-11 12:23:18.999,3.046031232580713,1023,2.107297496873996,0.9387337357067169,5.165270825,52.08798695,3.125
2024-06-11 12:23:19.992,2.7221335269025153,1023,2.1073147270927164,0.6148187998097989,5.1652646749999995,52.088022095,3.955
2024-06-11 12:23:20.986,2.515847267126305,1023,2.107331957311437,0.40851530981486794,5.16526745,52.08808431,5.625
2024-06-11 12:23:22.177,2.36823496980499,1023,2.1073491875301578,0.26088578227483206,5.1652728549999996,52.088238415,7.015000000000001
2024-06-11 12:23:23.270,2.283492699968165,1023,2.1073532416992684,0.17613945826889665,5.16527735,52.08830628,6.585
2024-06-11 12:23:24.363,2.220896328898648,1023,2.107211345780393,0.11368498311825492,5.16529095,52.08837135,6.755
2024-06-11 12:23:25.356,2.1806080233608682,1023,2.1067866715660455,0.07382135179482274,5.16529388,52.088434715000005,6.855
2024-06-11 12:23:26.349,2.1523606000819266,1023,2.1065099745242386,0.04585062555768804,5.1652829449999995,52.088498255000005,6.505
2024-06-11 12:23:27.343,2.135515527426885,1023,2.1060214471463965,0.02949408028048861,5.165258445,52.08853655,4.98
2024-06-11 12:23:28.336,2.124467916600173,1023,2.1051072320119295,0.019360684588243693,5.165183450000001,52.088545235,4.779999999999999
2024-06-11 12:23:29.329,2.119846163813952,1023,2.10409774390336,0.01574841991059195,5.165073605,52.088552115,6.359999999999999
2024-06-11 12:23:30.322,2.1205759142538816,1023,2.103414616408204,0.01716129784567766,5.16496103,52.088563995,7.1899999999999995
2024-06-11 12:23:31.316,2.2029363597381586,1023,2.103108526640345,0.09982783309781373,5.16483795,52.088574300000005,7.81
2024-06-11 12:23:32.309,2.378461611386781,1023,2.1029808203133573,0.2754807910734236,5.164724185,52.088579455,7.715
2024-06-11 12:23:33.302,2.3652652909313874,1023,2.1028713577473677,0.2623939331840197,5.164617605,52.088581495,7.245
2024-06-11 12:23:34.295,2.2961518430163883,1023,2.1023240449174203,0.193827798098968,5.164486775,52.0885801,7.695
