Datetime,FRAC_DAYS_SINCE_JAN1,FRAC_HRS_SINCE_JAN1,JULIAN_DAYS,EPOCH_TIME,ALARM_STATUS_G23,INST_STATUS,CavityPressure,CavityTemp,DasTemp,EtalonTemp,WarmBoxTemp,species,MPVPosition,OutletValve,solenoid_valves,CO2,CO2_dry,CH4,CH4_dry,H2O,CH4_G23,bg_G23,CH4_ele_G23,Latitude,Longitude,Speed [m/s]
2022-09-06 11:37:54.831,248.48423751,5963.6217,249.48423751,1662464238.121,0,963,139.98789767,44.997825623,52.25,44.948234558,44.996788025,1.0,0.0,52820.305162,0.0,465.45632679,474.04382691,2.0702021544,2.1033896273,1.2448309751,2.011167386803261,2.0037407845852533,0.007426602218007616,51.9202,4.5236,0.7202222222222222
2022-09-06 11:37:57.963,248.48427376,5963.62257,249.48427376,1662464241.253,0,963,139.97075078,44.997489929,52.3125,44.948356628,44.996879578,1.0,0.0,52799.955547,0.0,466.41992683,474.58823368,2.0706678631,2.1034265283,1.2419446122,2.011205441722696,2.0037407845852533,0.0074646571374428206,51.9202,4.5236,0.14405555555555555
2022-09-06 11:38:01.065,248.48430966,5963.623432,249.48430966,1662464244.355,0,963,139.97447827,44.997518912,52.3125,44.948385612,44.996896968,1.0,0.0,52786.114962,0.0,467.53628547,475.55387732,2.0720377652,2.1038385139,1.2403181397,2.011630310393366,2.0037407845852533,0.00788952580811264,51.9202,4.5236,0.0
2022-09-06 11:38:04.187,248.48434581,5963.624299,249.48434581,1662464247.478,0,963,140.01374303,44.997642517,52.3125,44.948509216,44.99697113,1.0,0.0,52795.562888,0.0,466.70525938,476.67937981,2.0729598424,2.105184282,1.2385488003,2.013018161579613,2.003733005854877,0.009285155724735983,51.9202,4.5236,0.0
2022-09-06 11:38:07.328,248.48438215,5963.625172,249.48438215,1662464250.618,0,963,140.00698853,44.997673035,52.3125,44.948356628,44.996574402,1.0,0.0,52804.726562,0.0,466.78881636,475.8261015,2.0726585554,2.1060993197,1.2387129268,2.013961813132511,2.0037407845852533,0.010221028547257927,51.9202,4.5236,0.0
2022-09-06 11:38:10.427,248.48441803,5963.626033,249.48441803,1662464253.718,0,963,139.96663968,44.997673035,52.3125,44.948356628,44.996574402,1.0,0.0,52785.564922,0.0,465.73726685,475.93556201,2.0730427854,2.1058813191,1.2450402455,2.0137369955050812,2.003733005854877,0.010003989650204215,51.9202,4.5236,0.12347222222222222
2022-09-06 11:38:13.565,248.48445435,5963.626904,249.48445435,1662464256.856,0,963,139.99525741,44.997917175,52.304818436,44.948448181,44.996665955,1.0,0.0,52783.650096,0.0,464.49779232,474.83078802,2.0735337667,2.1061530093,1.2299720776,2.0140171816429167,2.003733005854877,0.01028417578803964,51.9202,4.5236,0.051444444444444445
2022-09-06 11:38:16.703,248.48449066,5963.627776,249.48449066,1662464259.993,0,963,140.02629629,44.998034525,52.3125,44.948477518,44.996915322,1.0,0.0,52811.200384,0.0,464.1621373,473.55630349,2.0732414407,2.1066123841,1.24213381,2.014490921406188,2.003733005854877,0.010757915551311115,51.9202,4.5236,0.14919444444444444
2022-09-06 11:38:19.834,248.4845269,5963.628646,249.4845269,1662464263.124,0,963,139.99592447,44.998161316,52.3125,44.948509216,44.997184753,1.0,0.0,52815.330024,0.0,461.44347197,473.2685792,2.0726351504,2.1065143216,1.2446218571,2.0143897924249385,2.003733005854877,0.010656786570061527,51.9202,4.5236,0.2212222222222222
2022-09-06 11:38:22.950,248.48456296,5963.629511,249.48456296,1662464266.24,0,963,139.9966544,44.99785614,52.305167598,44.948387146,44.99684906,1.0,0.0,52806.098616,0.0,460.98976598,470.49948469,2.0728453682,2.1059089815,1.2429205733,2.013765522927194,2.003733005854877,0.010032517072316782,51.9202,4.5236,0.14919444444444444
2022-09-06 11:38:26.068,248.48459906,5963.630377,249.48459906,1662464269.359,0,963,140.00893688,44.997865006,52.273743017,44.94840931,44.996866791,1.0,0.0,52816.941472,0.0,461.39766304,470.04660691,2.0734940648,2.1061583504,1.2472573556,2.0140226897627564,2.003733005854877,0.010289683907879432,51.9202,4.5236,0.24177777777777776
2022-09-06 11:38:29.209,248.48463541,5963.63125,249.48463541,1662464272.499,0,963,140.00884437,44.997917175,52.289709945,44.948539734,44.99697113,1.0,0.0,52824.061701,0.0,458.95773606,470.45923228,2.0725075767,2.1068054019,1.2420318782,2.0146899750044245,2.003733005854877,0.010956969149547469,51.9202,4.5236,0.2932222222222222
2022-09-06 11:38:32.337,248.48467161,5963.632119,249.48467161,1662464275.627,0,963,139.99606163,44.997825623,52.3125,44.948509216,44.99684906,1.0,0.0,52813.427594,0.0,457.00589276,467.90923274,2.0723476528,2.105573612,1.2303530022,2.0134196661942205,2.003733005854877,0.009686660339343511,51.9202,4.5237,0.3138055555555555
2022-09-06 11:38:35.489,248.4847081,5963.632994,249.4847081,1662464278.78,0,963,140.00488793,44.997825623,52.280377095,44.948509216,44.99684906,1.0,0.0,52800.110182,0.0,455.83146989,465.85973557,2.072499785,2.1051902411,1.2257504282,2.0130243070247333,2.0037407845852533,0.009283522439480052,51.9202,4.5237,0.19549999999999998
2022-09-06 11:38:38.613,248.48474425,5963.633862,249.48474425,1662464281.903,0,963,139.98835021,44.997703552,52.25,44.948509216,44.997032166,1.0,0.0,52789.074873,0.0,456.70994153,464.63201946,2.0726088586,2.1052312631,1.2219858608,2.013066611810649,2.0037407845852533,0.009325827225395766,51.9201,4.5236,0.2880833333333333
