Datetime,CH4_dry,species,ALARM_STATUS_G23,CH4_G23,bg_G23,CH4_ele_G23,Longitude,Latitude,Speed [m/s]
2024-06-11 12:02:03.174,2.0112173198,1.0,0,1.9161127883899094,1.9090910021554177,0.007021786234491678,5.164842354999999,52.088539765,0.0
2024-06-11 12:02:06.138,2.0073907314,1.0,0,1.9121665399610612,1.9084938956055462,0.0036726443555150645,5.164842035,52.08853989,0.0
2024-06-11 12:02:08.957,2.0079482081,1.0,0,1.9127414493376471,1.908273956857837,0.004467492479810042,5.16484196,52.08854015,0.0
2024-06-11 12:02:11.957,2.0092048245,1.0,0,1.9140373609894366,1.9082619228364968,0.005775438152939794,5.1648412,52.08854274,0.105
2024-06-11 12:02:14.969,2.012496531,1.0,0,1.917432001396504,1.9082619228364968,0.009170078560007289,5.16484399,52.088544165,0.0
2024-06-11 12:02:17.940,2.0263235276,1.0,0,1.9316913776096443,1.9082619228364968,0.023429454773147507,5.164841085,52.088550065,0.0
2024-06-11 12:02:20.918,2.1828037516,1.0,0,2.093064844927378,1.9082619228364968,0.18480292209088112,5.164822135,52.0885543,1.33
2024-06-11 12:02:23.785,2.0636702109,1.0,0,1.9702059171653796,1.9082619228364968,0.06194399432888287,5.16468159,52.088556600000004,5.025
2024-06-11 12:02:26.779,2.0159374904,1.0,0,1.9209805619435385,1.9082619228364968,0.01271863910704174,5.164389679999999,52.088574025,7.325
2024-06-11 12:02:29.757,2.0075677816,1.0,0,1.9123491266415562,1.9082619228364968,0.004087203805059447,5.164086075,52.088578185,6.84
2024-06-11 12:02:32.717,2.00599514,1.0,0,1.9107273074662454,1.9082619228364968,0.002465384629748657,5.16376712,52.088551405,6.1850000000000005
2024-06-11 12:02:35.690,2.0057848164,1.0,0,1.9105104069038412,1.9082619228364968,0.0022484840673444584,5.16358815,52.088494265,5.84
2024-06-11 12:02:38.683,2.0073613088,1.0,0,1.9121361972962942,1.9082619228364968,0.0038742744597974887,5.163531535000001,52.08833025,6.795
2024-06-11 12:02:41.525,2.0029784317,1.0,0,1.90761626464043,1.9082619228364968,-0.0006456581960667673,5.163485865,52.08811677,8.29
2024-06-11 12:02:44.644,2.005381232,1.0,0,1.9100942021444247,1.908548199762107,0.0015460023823177238,5.16347225,52.08789763,8.03
2024-06-11 12:02:47.628,2.0055194552,1.0,0,1.9102367476781517,1.9093262746606432,0.0009104730175084619,5.163477885,52.0876843,7.83
2024-06-11 12:02:50.624,2.0060012033,1.0,0,1.9107335603697715,1.9094425028059545,0.0012910575638169774,5.16351714,52.087516285,5.625
2024-06-11 12:02:53.602,2.0059580842,1.0,0,1.910689092906109,1.909643129607616,0.0010459632984931577,5.16373366,52.087469354999996,6.38
2024-06-11 12:02:56.571,2.0055515558,1.0,0,1.9102698520858046,1.9097501418437284,0.000519710242076199,5.164058295,52.08747941,7.645
2024-06-11 12:02:59.588,2.0032734203,1.0,0,1.9079204777351229,1.9097501418437284,-0.001829664108605522,5.1644021,52.087483695,7.38
2024-06-11 12:03:00.102,2.0035494757,1.0,0,1.908205165575739,1.9097501418437284,-0.0015449762679893286,5.164527555,52.0874762,7.895
2024-06-11 12:03:02.621,2.0035494757,1.0,0,1.908205165575739,1.9097501418437284,-0.0015449762679893286,5.164761105,52.08747608,7.42
2024-06-11 12:03:05.621,2.0046190816,1.0,0,1.9093082187816606,1.9097501418437284,-0.00044192306206780607,5.16505776,52.08748138,6.05
2024-06-11 12:03:08.581,2.3406118167,1.0,0,2.2558076758418433,1.9097501418437284,0.3460575339981149,5.165288615,52.087507044999995,5.0600000000000005
2024-06-11 12:03:11.562,2.3541874199,1.0,0,2.269807797411926,1.9097501418437284,0.3600576555681976,5.165311470000001,52.08761529,6.035
2024-06-11 12:03:14.437,2.3474561659,1.0,0,2.2628660525088997,1.9097501418437284,0.35311591066517134,5.16530347,52.087807174999995,6.415
2024-06-11 12:03:17.407,2.0713741747,1.0,0,1.9781507891672008,1.9097501418437284,0.0684006473234724,5.165227495,52.0879977,6.01
2024-06-11 12:03:20.513,2.0246601867,1.0,0,1.9299760229053695,1.9097501418437284,0.020225881061641138,5.1651818800000004,52.088137365,5.95
2024-06-11 12:03:23.529,2.0163135815,1.0,0,1.921368413668715,1.9097501418437284,0.011618271824986648,5.165211165,52.088290885,4.495
2024-06-11 12:03:26.398,2.0126892645,1.0,0,1.9176307618044857,1.9097501418437284,0.007880619960757285,5.165270745,52.088404534999995,5.02
2024-06-11 12:03:29.384,2.0183864336,1.0,0,1.923506085267484,1.9097501418437284,0.013755943423755523,5.165256305,52.088519535,4.055
